,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT
241,648746,"Ventura County, CA",69811,2016,06,111,9.8,81792
242,169161,"Yolo County, CA",12177,2016,06,113,19,39303
243,60085,"Yuba County, CA",4607,2016,06,115,16.6,12288
244,389525,"Adams County, CO",52929,2016,08,001,11.7,57811
245,11414,"Alamosa County, CO",1658,2016,08,003,24.8,3816
246,506364,"Arapahoe County, CO",47210,2016,08,005,9,56898
247,8290,"Archuleta County, CO",1314,2016,08,007,12,1523
248,2223,"Baca County, CO",373,2016,08,009,20.2,702
249,2663,"Bent County, CO",379,2016,08,011,34.1,1358
250,251524,"Boulder County, CO",19445,2016,08,013,10.8,33749
251,55247,"Broomfield County, CO",2946,2016,08,014,5.3,3518
252,12015,"Chaffee County, CO",1174,2016,08,015,11.4,2009
253,1264,"Cheyenne County, CO",196,2016,08,017,14,252
254,7105,"Clear Creek County, CO",471,2016,08,019,8.1,753
255,5912,"Conejos County, CO",601,2016,08,021,22.7,1836
256,2263,"Costilla County, CO",391,2016,08,023,30.4,1128
257,2201,"Crowley County, CO",198,2016,08,025,48,1471
258,2643,"Custer County, CO",364,2016,08,027,13.6,605
259,19967,"Delta County, CO",2291,2016,08,029,17.8,5300
260,539608,"Denver County, CO",61876,2016,08,031,14,95232
261,1388,"Dolores County, CO",170,2016,08,033,13.2,271
262,284150,"Douglas County, CO",10784,2016,08,035,3.4,11114
263,42477,"Eagle County, CO",6276,2016,08,037,7.9,4239
264,19752,"Elbert County, CO",1572,2016,08,039,6,1516
265,545679,"El Paso County, CO",41408,2016,08,041,11.5,76997
266,26964,"Fremont County, CO",2535,2016,08,043,17.5,6861
267,43341,"Garfield County, CO",7830,2016,08,045,9.1,5276
268,4784,"Gilpin County, CO",233,2016,08,047,7.5,440
269,11436,"Grand County, CO",1217,2016,08,049,8.2,1220
270,12082,"Gunnison County, CO",1406,2016,08,051,13.8,2128
271,516,"Hinsdale County, CO",69,2016,08,053,10,77
272,4096,"Huerfano County, CO",391,2016,08,055,21.9,1425
273,893,"Jackson County, CO",158,2016,08,057,14.1,191
274,446728,"Jefferson County, CO",31818,2016,08,059,7,39397
275,921,"Kiowa County, CO",109,2016,08,061,13.9,189
276,5026,"Kit Carson County, CO",759,2016,08,063,14.3,1023
277,5763,"Lake County, CO",791,2016,08,065,14.6,1093
278,40550,"La Plata County, CO",4671,2016,08,067,10.9,5861
279,262616,"Larimer County, CO",20618,2016,08,069,11.2,37023
280,8988,"Las Animas County, CO",1029,2016,08,071,21.6,2869
281,3292,"Lincoln County, CO",380,2016,08,073,18.1,834
282,13459,"Logan County, CO",1609,2016,08,075,16.4,3056
283,108313,"Mesa County, CO",11151,2016,08,077,15,21922
284,476,"Mineral County, CO",45,2016,08,079,9.3,68
285,10090,"Moffat County, CO",1098,2016,08,081,12.9,1676
286,18421,"Montezuma County, CO",2872,2016,08,083,15.1,4031
287,27797,"Montrose County, CO",3954,2016,08,085,16.4,6716
288,20411,"Morgan County, CO",2773,2016,08,087,11.7,3221
289,12659,"Otero County, CO",1491,2016,08,089,23.6,4209
290,3261,"Ouray County, CO",334,2016,08,091,8.8,426
291,12595,"Park County, CO",1439,2016,08,093,9.2,1572
292,2884,"Phillips County, CO",415,2016,08,095,11.5,484
293,12935,"Pitkin County, CO",1773,2016,08,097,6.9,1227
294,8324,"Prowers County, CO",1237,2016,08,099,20.9,2421
295,121171,"Pueblo County, CO",10306,2016,08,101,19.9,32053
296,4807,"Rio Blanco County, CO",501,2016,08,103,9.5,591
297,7897,"Rio Grande County, CO",1095,2016,08,105,17.5,1972
298,19357,"Routt County, CO",1775,2016,08,107,7.2,1766
